Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	40.238072850	41.527883904	92.6	1524.7	1.290	1432.1	-59.5	
2	Spectrogram 1	1	43.197304901	44.763195914	37.0	2191.4	1.566	2154.3	-62.5	
3	Spectrogram 1	1	49.483918866	50.816867414	67.9	1574.1	1.333	1506.2	-62.7	
4	Spectrogram 1	1	58.445427653	59.575629982	67.9	1419.8	1.130	1351.9	-58.7	
5	Spectrogram 1	1	74.949214359	76.273535408	43.2	1654.3	1.324	1611.1	-56.5	
6	Spectrogram 1	1	73.111557138	74.543721920	49.4	2018.5	1.432	1969.1	-63.5	
7	Spectrogram 1	1	85.400710761	86.479148098	86.4	1679.0	1.078	1592.6	-58.1	
8	Spectrogram 1	1	86.530913090	87.850920390	43.2	1672.8	1.320	1629.6	-56.0	
9	Spectrogram 1	1	89.480606772	90.921399054	30.9	1784.0	1.441	1753.1	-58.1	
10	Spectrogram 1	1	99.392151320	100.720786119	49.4	1561.7	1.329	1512.3	-56.6	
11	Spectrogram 1	1	101.212553544	102.467854604	43.2	1413.6	1.255	1370.4	-55.0	
12	Spectrogram 1	1	103.376041368	104.734872412	12.3	1629.6	1.359	1617.3	-53.3	
13	Spectrogram 1	1	106.525541256	108.156138509	6.2	1765.4	1.631	1759.3	-61.9	
14	Spectrogram 1	1	111.354470772	113.019578019	61.7	1845.7	1.665	1784.0	-63.3	
