Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	4.849811578	5.496873980	162.1	1857.9	0.647	1695.8	-45.7	
2	Spectrogram 1	1	21.246911732	21.695541664	249.4	1446.4	0.449	1197.0	-62.1	
3	Spectrogram 1	1	22.817116494	23.343393914	162.1	1458.9	0.526	1296.8	-58.3	
4	Spectrogram 1	1	29.993285649	30.342699346	149.6	1172.1	0.349	1022.4	-57.2	
5	Spectrogram 1	1	35.552509785	36.001139717	199.5	1546.1	0.449	1346.6	-60.3	
6	Spectrogram 1	1	37.450559497	38.028601909	124.7	1147.1	0.578	1022.4	-63.9	
7	Spectrogram 1	1	44.300752063	44.796833238	87.3	829.2	0.496	741.9	-60.9	
8	Spectrogram 1	1	47.572531668	47.839984128	49.9	841.6	0.267	791.8	-58.4	
9	Spectrogram 1	1	48.387830294	48.681165250	87.3	760.6	0.293	673.3	-58.8	
10	Spectrogram 1	1	49.121167683	49.431757636	118.5	741.9	0.311	623.4	-56.4	
11	Spectrogram 1	1	53.415752276	53.704773482	62.3	866.6	0.289	804.2	-55.8	
12	Spectrogram 1	1	54.627915842	54.903995800	99.8	754.4	0.276	654.6	-57.1	
13	Spectrogram 1	1	55.697725680	55.956550641	74.8	816.7	0.259	741.9	-53.9	
14	Spectrogram 1	1	56.728711774	57.047929225	87.3	704.5	0.319	617.2	-54.6	
15	Spectrogram 1	1	57.832409863	58.121431069	31.2	754.4	0.289	723.2	-50.0	
16	Spectrogram 1	1	58.910847199	59.152417163	62.3	785.5	0.242	723.2	-51.8	
17	Spectrogram 1	1	59.488889612	59.691635831	62.3	891.5	0.203	829.2	-50.2	
18	Spectrogram 1	1	60.069913046	60.419326743	93.5	561.1	0.349	467.6	-53.9	
19	Spectrogram 1	1	60.393444247	60.540111725	118.5	554.9	0.147	436.4	-53.1	
20	Spectrogram 1	1	60.622072962	60.833446680	68.6	779.3	0.211	710.7	-53.8	
21	Spectrogram 1	1	60.785995438	61.105212889	99.8	785.5	0.319	685.8	-49.8	
22	Spectrogram 1	1	62.520122675	62.740123891	87.3	822.9	0.220	735.7	-46.3	
23	Spectrogram 1	1	62.757378889	62.973066356	137.2	735.7	0.216	598.5	-45.5	
24	Spectrogram 1	1	62.998948852	63.188753823	43.6	673.3	0.190	629.7	-45.8	
25	Spectrogram 1	1	63.106792586	63.309538805	81.0	579.8	0.203	498.8	-42.6	
26	Spectrogram 1	1	63.473461280	63.753854988	87.3	804.2	0.280	717.0	-49.8	
27	Spectrogram 1	1	63.745227489	64.116209933	112.2	511.2	0.371	399.0	-50.9	
28	Spectrogram 1	1	64.456996131	64.698566094	162.1	1066.1	0.242	904.0	-47.0	
29	Spectrogram 1	1	64.564839865	64.737389838	99.8	542.4	0.173	442.6	-43.3	
30	Spectrogram 1	1	65.076754069	65.232049045	180.8	492.5	0.155	311.7	-48.0	
31	Spectrogram 1	1	65.154401557	65.309696533	137.2	922.7	0.155	785.5	-46.8	
32	Spectrogram 1	1	65.716696984	65.930227576	367.8	841.6	0.214	473.8	-55.2	
33	Spectrogram 1	1	66.849056187	67.002194289	81.0	492.5	0.153	411.5	-54.7	
34	Spectrogram 1	1	67.194156135	67.336509863	68.6	461.3	0.142	392.8	-55.3	
35	Spectrogram 1	1	67.623520043	67.996659362	130.9	916.5	0.373	785.5	-51.4	
36	Spectrogram 1	1	67.878031255	68.192934957	24.9	611.0	0.315	586.0	-43.4	
37	Spectrogram 1	1	68.022541858	68.238229325	49.9	486.3	0.216	436.4	-40.1	
38	Spectrogram 1	1	69.120391066	69.495687259	99.8	829.2	0.375	729.4	-44.7	
39	Spectrogram 1	1	69.438116363	69.651646956	74.8	542.4	0.214	467.6	-45.1	
40	Spectrogram 1	1	70.026943149	70.296552483	49.9	480.0	0.270	430.2	-43.8	
41	Spectrogram 1	1	70.621080419	70.797996741	141.1	670.1	0.177	529.0	-44.2	
42	Spectrogram 1	1	70.740041395	70.877304058	202.8	599.5	0.137	396.8	-43.9	
43	Spectrogram 1	1	70.855952088	70.959661656	141.1	467.3	0.104	326.2	-45.6	
44	Spectrogram 1	1	70.932209124	71.075572350	114.6	617.2	0.143	502.6	-39.2	
45	Spectrogram 1	1	71.133527697	71.270790361	149.9	652.4	0.137	502.6	-43.1	
46	Spectrogram 1	1	71.072522069	71.209784732	194.0	714.2	0.137	520.2	-44.8	
47	Spectrogram 1	1	71.200633888	71.398902180	114.6	511.4	0.198	396.8	-44.0	
48	Spectrogram 1	1	71.444656401	71.581919065	79.4	590.7	0.137	511.4	-42.3	
49	Spectrogram 1	1	71.536164844	71.713081166	97.0	573.1	0.177	476.1	-42.3	
50	Spectrogram 1	1	71.889997488	72.021159589	88.2	564.3	0.131	476.1	-43.7	
51	Spectrogram 1	1	72.396344203	72.561059399	114.6	678.9	0.165	564.3	-42.5	
52	Spectrogram 1	1	72.713573470	72.869137822	88.2	714.2	0.156	626.0	-47.2	
53	Spectrogram 1	1	72.980695053	73.337577979	118.5	660.8	0.357	542.4	-48.1	
54	Spectrogram 1	1	73.499242894	73.633455276	106.0	455.1	0.134	349.1	-50.1	
55	Spectrogram 1	1	73.917131448	74.005589609	311.7	798.0	0.088	486.3	-50.8	
56	Spectrogram 1	1	73.929332573	74.054394111	43.6	548.6	0.125	505.0	-43.9	
57	Spectrogram 1	1	73.996438764	74.185556212	87.3	611.0	0.189	523.7	-41.0	
58	Spectrogram 1	1	74.133701428	74.283165217	143.4	611.0	0.149	467.6	-40.6	
59	Spectrogram 1	1	74.234360715	74.368573097	62.3	455.1	0.134	392.8	-38.5	
60	Spectrogram 1	1	74.338070283	74.429578725	149.6	561.1	0.092	411.5	-37.2	
61	Spectrogram 1	1	74.554640263	74.716305178	112.2	529.9	0.162	417.7	-45.6	
62	Spectrogram 1	1	75.109791481	75.247054145	62.3	529.9	0.137	467.6	-45.7	
63	Spectrogram 1	1	74.929824877	75.045735571	118.5	529.9	0.116	411.5	-48.6	
