Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	6.708784720	7.597417085	111.1	1851.9	0.889	1740.7	-57.0	
2	Spectrogram 1	1	21.448760118	22.263117397	148.1	2234.6	0.814	2086.4	-60.1	
3	Spectrogram 1	1	35.265764181	35.772110896	104.8	1169.8	0.506	1065.0	-58.2	
4	Spectrogram 1	1	38.468559667	38.797990059	61.1	724.6	0.329	663.5	-66.3	
5	Spectrogram 1	1	40.597656094	40.908784798	87.3	951.5	0.311	864.2	-57.9	
6	Spectrogram 1	1	39.713074484	39.938795309	78.6	471.4	0.226	392.8	-65.1	
7	Spectrogram 1	1	34.995462017	35.587216612	61.1	750.8	0.592	689.6	-57.1	
8	Spectrogram 1	1	41.665311539	41.878831238	87.3	593.6	0.214	506.3	-63.9	
9	Spectrogram 1	1	46.982947732	47.239171370	96.0	628.5	0.256	532.5	-62.8	
10	Spectrogram 1	1	47.098858425	47.440489944	0.0	515.1	0.342	515.1	-63.6	
11	Spectrogram 1	1	48.288468177	48.776513204	78.6	934.1	0.488	855.5	-58.0	
12	Spectrogram 1	1	53.426313487	53.975364142	139.7	916.6	0.549	776.9	-66.4	
13	Spectrogram 1	1	54.164481589	54.487811419	113.5	584.9	0.323	471.4	-54.6	
14	Spectrogram 1	1	54.652526616	55.317487964	305.5	1152.3	0.665	846.8	-54.2	
15	Spectrogram 1	1	58.396980540	58.805718250	209.5	724.6	0.409	515.1	-57.8	
16	Spectrogram 1	1	60.251551640	60.678591038	69.8	838.1	0.427	768.2	-59.8	
17	Spectrogram 1	1	61.888319680	62.254353450	52.4	497.6	0.366	445.2	-58.7	
18	Spectrogram 1	1	65.286333177	65.444947810	17.5	593.6	0.159	576.2	-64.7	
19	Spectrogram 1	1	69.547926205	69.871256035	61.1	846.8	0.323	785.7	-56.2	
20	Spectrogram 1	1	72.213872162	72.329782856	113.5	558.7	0.116	445.2	-54.0	
21	Spectrogram 1	1	73.141157712	73.397381351	87.3	785.7	0.256	698.4	-54.8	
22	Spectrogram 1	1	75.387441812	75.710771642	52.4	794.4	0.323	742.0	-54.3	
23	Spectrogram 1	1	77.309119104	77.571443305	104.8	881.7	0.262	776.9	-47.4	
24	Spectrogram 1	1	78.693946866	79.005075570	52.4	785.7	0.311	733.3	-56.7	
25	Spectrogram 1	1	78.889164876	79.291802023	96.0	803.1	0.403	707.1	-57.4	
26	Spectrogram 1	1	83.727671107	83.928989681	87.3	776.9	0.201	689.6	-60.4	
27	Spectrogram 1	1	86.259404682	86.649840703	61.1	829.3	0.390	768.2	-63.4	
29	Spectrogram 1	1	93.160664091	93.416887730	96.0	724.6	0.256	628.5	-65.1	
