Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
3	Spectrogram 1	1	9.843383451	10.576720840	136.8	1791.0	0.733	1654.2	-57.0	
4	Spectrogram 1	1	14.713272030	14.721899529	1517.4	1517.4	0.009	0.0	-60.7	
6	Spectrogram 1	1	14.044640882	14.752095774	174.1	1691.5	0.707	1517.4	-49.3	
7	Spectrogram 1	1	32.895542151	33.331230835	111.9	1094.5	0.436	982.6	-57.4	
8	Spectrogram 1	1	33.398258902	33.861901677	136.8	1175.4	0.464	1038.6	-58.4	
9	Spectrogram 1	1	35.215151964	35.709297553	80.8	939.1	0.494	858.2	-57.1	
10	Spectrogram 1	1	39.084874673	39.421347122	79.2	501.3	0.336	422.2	-69.9	
11	Spectrogram 1	1	43.264487049	43.570763252	96.7	1134.5	0.306	1037.8	-59.9	
12	Spectrogram 1	1	46.547144793	46.969892229	44.0	800.3	0.423	756.4	-55.1	
13	Spectrogram 1	1	49.601279330	49.735005560	131.9	571.7	0.134	439.7	-59.6	
14	Spectrogram 1	1	50.002458019	50.226772985	184.7	923.5	0.224	738.8	-52.6	
15	Spectrogram 1	1	51.406602119	51.747388318	167.1	1099.4	0.341	932.3	-57.1	
16	Spectrogram 1	1	52.476411957	52.812884406	131.9	756.4	0.336	624.4	-56.4	
17	Spectrogram 1	1	53.835243001	54.007792975	87.9	923.5	0.173	835.5	-53.4	
18	Spectrogram 1	1	55.424401007	55.881658438	79.2	809.1	0.457	730.0	-54.5	
19	Spectrogram 1	1	56.640878323	56.809114547	61.6	527.7	0.168	466.1	-58.2	
20	Spectrogram 1	1	57.909120631	58.198141837	123.1	738.8	0.289	615.6	-54.7	
21	Spectrogram 1	1	58.793439247	58.987557967	70.4	580.5	0.194	510.1	-50.7	
22	Spectrogram 1	1	58.871086735	59.086774202	79.2	571.7	0.216	492.5	-49.5	
